Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,T,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
7,0.0,2.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1
10,0.0,T,0.0,T,T,0.0,0.0,0.0,0.0,2.5,0.0,0.3
11,0.0,T,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.2,2.7,0.0
12,T,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,0.0
13,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,3.9,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
15,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,T,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,0.3,0.2,0.0,0.0,T,0.0,0.0,0.0,0.0,0.0,0.9,0.0
23,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,0.0,0.0
25,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.1,0.0
28,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,2.2
29,0.0,M,0.0,T,0.0,0.0,0.0,0.0,0.0,3.5,T,0.3
30,0.0,-,1.4,6.2,0.0,0.0,0.0,0.0,0.0,1.3,0.6,0.0
31,0.0,-,0.0,-,0.0,-,0.0,0.0,-,0.0,-,0.0