Day, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1, M, 0.0, M, 0.0, T, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, T
2, 0.0, 0.0, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, 0.0, 0.0
3, 0.0, M, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
4, 0.0, 6.5, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
5, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4
6, M, 12.0, T, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, T
7, 3.0, 2.0, M, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
8, T, 0.0, 3.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9
9, M, 0.0, 4.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9
10, 0.0, M, M, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
11, 0.0, 6.0, 1.0, 0.5, 0.0, 0.0, M, 0.0, 0.0, 0.0, 0.0, 0.0
12, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1
13, M, 0.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.9
14, 0.0, 6.0, 0.5, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.9
15, 0.2, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3
16, 2.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, T
17, 0.1, M, M, 0.0, T, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
18, 17.0, M, 0.0, 0.0, M, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0
19, T, 0.5, 0.0, 0.0, M, 0.0, 0.0, 0.0, 0.0, M, 0.0, 0.0
20, M, T, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, M, 0.0
21, M, T, 0.0, 0.0, 0.0, 0.0, M, 0.0, 0.0, M, 2.6, 0.0
22, 1.3, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, T, 0.0
23, 0.0, 0.0, M, 0.0, 0.0, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
24, 0.0, M, M, 0.0, 0.0, 0.0, M, 0.0, 0.0, M, 0.0, 2.0
25, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, 0.0, 2.6
26, 0.0, 0.0, 0.0, 0.0, M, 0.0, 0.0, 0.0, 0.0, M, 0.6, 2.1
27, M, 0.0, 0.0, 0.0, M, 0.0, 0.0, 0.0, 0.0, M, 4.6, 0.0
28, 0.0, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 0.0
29, 0.0, M, 4.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 9.0, T
30, 0.0,  -, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9, 2.3
31, 0.0,  -, M,  -, 0.0,  -, 0.0, 0.0,  -, 0.0,  -, 0.0